Student_ID,Java,Python,C++,SQL,DSA,OOP,Git,Spring_Boot,React,AWS,Communication,Aptitude,Problem_Solving,Teamwork,CGPA,Projects,Internships,Certifications,Employable
S00001,1,0,0,0,1,0,1,0,1,0,8,6,7,10,5.18,4,2,3,Yes
S00002,0,1,0,0,0,1,1,1,0,1,9,4,9,8,5.29,0,3,8,Yes
S00003,0,1,0,1,1,1,0,0,0,0,6,6,9,4,8.49,6,0,7,Yes
S00004,0,0,0,1,1,1,1,0,1,1,10,8,9,2,9.53,4,0,7,Yes
S00005,1,1,0,1,1,1,1,0,0,0,2,9,7,10,5.32,4,3,7,Yes
S00006,1,0,0,0,0,0,1,0,0,0,9,3,2,2,7.63,8,1,3,No
S00007,1,0,0,1,0,0,1,1,1,0,4,1,1,1,6.3,6,0,8,No
S00008,0,1,0,1,0,0,0,0,1,0,2,6,2,10,8.63,0,2,3,No
S00009,0,0,0,1,0,1,0,1,0,0,8,9,8,10,5.35,2,0,8,No
S00010,0,1,0,0,0,1,1,0,0,0,4,10,3,7,8.42,1,0,2,No
S00011,1,1,1,0,0,1,0,0,0,0,2,5,5,9,9.57,1,1,0,No
S00012,0,1,1,1,1,0,1,0,0,0,2,5,7,1,6.52,0,1,6,No
S00013,0,1,1,1,0,1,1,1,1,0,3,4,3,9,6.92,1,0,1,No
S00014,1,1,1,1,1,1,0,0,0,1,10,7,3,2,5.12,3,2,6,Yes
S00015,1,1,0,1,1,1,1,0,0,0,6,9,2,9,8.45,4,2,7,Yes
S00016,1,0,0,1,1,0,0,0,0,0,3,8,5,2,6.66,4,1,1,No
S00017,1,0,0,0,1,1,1,1,0,0,4,8,10,10,8.87,8,0,4,Yes
S00018,1,0,0,1,1,1,1,1,1,1,4,7,3,7,8.31,8,3,5,Yes
S00019,1,1,0,1,0,1,0,1,0,0,4,4,7,5,8.18,8,3,6,Yes
S00020,1,1,1,1,0,1,1,0,0,1,5,6,5,6,5.48,3,0,6,No
S00021,0,1,0,1,0,0,1,1,0,0,9,7,5,9,8.81,8,3,5,Yes
S00022,1,1,1,1,0,1,0,0,0,1,4,6,4,3,5.32,3,3,3,Yes
S00023,1,1,1,1,1,0,0,1,0,0,9,9,9,8,5.71,8,3,0,Yes
S00024,1,0,1,1,0,0,1,0,1,1,10,6,8,2,9.39,2,3,0,Yes
S00025,1,1,0,1,0,1,1,0,0,0,8,3,5,7,7.12,4,2,2,No
S00026,0,1,0,0,1,1,1,0,0,0,5,2,6,3,9.85,0,0,5,No
S00027,1,1,0,0,1,1,1,1,1,1,10,2,5,5,6.24,7,2,1,Yes
S00028,1,1,0,1,0,0,0,0,1,0,6,9,7,4,8.43,5,1,7,Yes
S00029,0,1,1,1,0,1,1,1,1,0,3,8,1,2,7.5,4,0,8,No
S00030,1,1,0,1,1,1,0,0,0,0,2,1,5,2,5.05,4,2,3,No
S00031,0,0,0,1,1,0,0,0,1,0,9,3,3,1,9.46,3,1,2,No
S00032,1,1,1,1,1,1,0,0,1,0,7,9,10,5,5.86,0,0,8,Yes
S00033,1,0,0,1,0,0,0,1,0,0,10,5,6,6,9.04,7,2,7,Yes
S00034,0,1,1,1,0,0,0,0,0,1,3,8,7,8,5.53,8,1,3,Yes
S00035,0,1,1,0,0,0,0,0,0,0,2,1,4,4,8.32,7,1,7,No
S00036,0,0,0,1,0,1,1,0,1,0,10,9,1,10,8.63,4,2,4,Yes
S00037,1,1,1,0,0,1,0,1,1,0,3,4,9,4,6.68,0,0,2,No
S00038,1,1,1,1,1,0,1,1,0,0,7,4,8,3,6.36,4,1,7,Yes
S00039,0,0,0,0,1,0,1,0,0,0,7,8,5,9,9.68,2,3,0,Yes
S00040,1,1,0,1,1,1,0,1,0,0,10,6,7,1,6.08,4,2,4,Yes
S00041,1,1,0,1,0,1,1,0,0,1,2,8,10,6,5.54,2,0,4,No
S00042,1,0,1,0,0,1,1,0,1,1,2,9,10,1,5.33,6,0,0,No
S00043,1,0,1,1,0,0,1,1,0,0,3,8,4,3,7.41,4,1,4,Yes
S00044,0,1,0,1,0,0,1,0,1,1,10,3,7,3,9.9,7,1,0,Yes
S00045,1,1,0,1,1,1,0,0,0,0,6,9,1,6,7.68,8,0,7,Yes
S00046,0,0,1,1,1,1,1,0,0,1,5,6,3,6,8.44,4,1,3,Yes
S00047,1,1,0,0,1,1,0,0,0,0,8,8,2,5,6.04,8,0,1,No
S00048,1,1,1,1,1,1,1,1,0,0,8,10,10,5,5.51,4,0,2,Yes
S00049,1,1,1,0,1,1,1,1,0,0,2,6,10,3,7.13,2,0,7,Yes
S00050,1,0,0,1,1,1,1,0,0,1,4,2,10,8,7.5,1,2,4,Yes
S00051,0,1,1,1,1,1,1,0,1,0,1,10,7,3,5.89,5,3,2,Yes
S00052,0,0,0,1,1,1,1,0,0,0,10,3,7,3,9.61,3,2,5,Yes
S00053,0,1,1,1,0,1,1,0,0,0,9,6,7,7,7.82,2,3,3,Yes
S00054,0,1,0,1,0,0,0,1,1,0,4,9,4,5,8.6,4,3,5,Yes
S00055,0,0,0,0,1,0,1,1,0,0,5,4,9,10,8.39,8,3,1,Yes
S00056,0,0,0,1,0,0,1,1,0,0,2,2,7,6,5.46,7,2,3,No
S00057,1,1,1,0,0,0,0,0,0,0,2,4,4,2,6.27,4,2,3,No
S00058,1,1,0,0,0,0,0,1,0,1,5,6,9,1,8.01,0,2,1,No
S00059,1,0,0,1,1,1,1,1,0,0,2,7,8,3,5.8,4,2,8,Yes
S00060,1,0,0,0,1,1,1,0,0,0,7,4,9,4,7.25,3,2,2,No
S00061,1,1,0,0,0,0,0,0,1,1,1,10,10,8,8.19,1,3,4,Yes
S00062,1,1,1,1,0,1,1,1,0,0,9,6,8,8,5.59,8,3,6,Yes
S00063,0,0,0,1,1,1,1,0,0,0,4,1,7,5,5.51,8,1,4,No
S00064,1,0,1,1,1,1,1,0,0,0,10,4,6,8,8.32,8,3,1,Yes
S00065,1,0,1,0,0,0,0,0,1,0,3,7,7,3,8.85,2,2,6,Yes
S00066,1,1,1,1,1,1,0,1,0,0,7,2,1,3,8.73,4,3,8,Yes
S00067,1,1,1,1,1,1,1,0,1,1,9,4,4,9,5.47,2,2,0,Yes
S00068,0,1,0,1,0,0,1,0,1,0,9,7,5,6,7.35,3,3,6,Yes
S00069,1,1,0,1,0,0,1,0,0,0,1,5,5,10,7.22,7,1,1,No
S00070,0,1,1,1,0,1,1,0,0,0,6,8,9,6,5.67,1,2,5,Yes
S00071,0,1,1,1,1,1,0,0,1,0,4,4,2,2,8.24,8,2,2,No
S00072,1,1,0,1,0,0,0,0,1,0,3,9,2,8,6.64,5,2,0,No
S00073,1,1,1,1,0,1,1,0,1,1,8,10,4,3,7.25,7,0,7,Yes
S00074,0,0,1,1,0,1,1,0,0,0,10,4,10,10,7.46,5,3,2,Yes
S00075,0,0,1,1,1,1,1,0,1,1,2,8,5,2,7.58,3,2,3,Yes
S00076,0,1,1,0,0,1,1,0,1,1,5,9,8,4,6.63,4,2,4,Yes
S00077,0,1,1,1,1,1,0,1,1,0,8,5,8,4,7.98,1,3,6,Yes
S00078,1,1,1,1,0,0,1,0,0,0,1,7,7,9,6.41,2,3,6,Yes
S00079,1,0,0,1,1,0,1,0,0,0,3,3,10,10,9.59,0,0,6,Yes
